antecedent,consequent,support,confidence,lift,leverage,conviction,n_items
wipes,"diapers, formula",0.18,0.7758620689655171,4.11962160512664,0.13630666666666666,3.621282051282049,3
"diapers, formula",wipes,0.18,0.9557522123893806,4.11962160512664,0.13630666666666666,17.356800000000018,3
"diapers, wipes",formula,0.18,0.9473684210526315,4.014272970561998,0.13516,14.515999999999986,3
formula,"diapers, wipes",0.18,0.7627118644067796,4.014272970561998,0.13516,3.4135714285714283,3
"apples, beer",bananas,0.03133333333333333,0.8103448275862069,3.927357807364492,0.023355111111111108,4.184787878787877,3
"bananas, eggs",apples,0.035333333333333335,0.8548387096774194,3.9212784847588047,0.026322666666666668,5.387111111111112,3
"bananas, salsa",apples,0.04633333333333333,0.8128654970760233,3.728740812275336,0.03390733333333333,4.178812499999998,3
coffee,"cream, sugar",0.215,0.8042394014962594,3.7118741607519663,0.15707777777777776,4.001486199575372,3
"cream, sugar",coffee,0.215,0.9923076923076922,3.7118741607519663,0.15707777777777776,95.24666666666563,3
"apples, cream",bananas,0.04666666666666667,0.7650273224043717,3.707725310521995,0.03408033333333334,3.3776976744186054,3
"bananas, diapers",apples,0.051666666666666666,0.8031088082901554,3.6839853591291534,0.037641999999999995,3.971736842105263,3
"bananas, sugar",apples,0.046,0.8023255813953488,3.680392575208022,0.033501333333333334,3.956,3
"apples, pasta",bananas,0.069,0.7582417582417583,3.6748388929325926,0.05022366666666667,3.2828939393939405,3
"bananas, butter",apples,0.079,0.7953020134228188,3.648174373499169,0.05734533333333333,3.820262295081968,3
apples,"bananas, butter",0.079,0.3623853211009174,3.648174373499169,0.05734533333333333,1.4125563549160671,3
"bananas, bread",apples,0.07866666666666666,0.7946127946127945,3.6450128193247457,0.05708466666666666,3.8074426229508185,3
apples,"bananas, bread",0.07866666666666666,0.36085626911314983,3.6450128193247457,0.05708466666666666,1.4096985645933013,3
sugar,"coffee, cream",0.215,0.7962962962962963,3.6415989159891597,0.15596,3.8356363636363633,3
"coffee, cream",sugar,0.215,0.9832317073170731,3.6415989159891593,0.15596,43.534545454545274,3
"apples, sugar",bananas,0.046,0.75,3.6348949919224554,0.03334488888888889,3.1746666666666665,3
"apples, pasta_sauce",bananas,0.06766666666666667,0.7490774907749077,3.630424026372735,0.049027888888888885,3.162995098039215,3
"apples, eggs",bananas,0.035333333333333335,0.7464788732394366,3.617829757218594,0.02556688888888889,3.130574074074074,3
"bananas, coffee",apples,0.04466666666666667,0.7882352941176471,3.6157582298974638,0.03231333333333333,3.6927777777777795,3
"bananas, milk",apples,0.050333333333333334,0.7864583333333334,3.6076070336391437,0.036381333333333335,3.6620487804878055,3
"bananas, cereal",apples,0.051,0.7846153846153845,3.5991531404375436,0.036829999999999995,3.6307142857142836,3
"bananas, chips",apples,0.06666666666666667,0.784313725490196,3.59776938298255,0.04813666666666666,3.6256363636363615,3
cream,"coffee, sugar",0.215,0.7789855072463767,3.5842891437716724,0.155016,3.5412459016393427,3
"coffee, sugar",cream,0.215,0.9892638036809817,3.5842891437716724,0.155016,67.43542857142896,3
"bananas, pasta_sauce",apples,0.06766666666666667,0.7777777777777778,3.567787971457696,0.04870066666666667,3.519,3
"bananas, cream",apples,0.04666666666666667,0.7777777777777778,3.567787971457696,0.03358666666666667,3.519,3
"apples, soda",bananas,0.04066666666666666,0.7349397590361445,3.5619051326469036,0.029249555555555553,2.994287878787878,3
"bananas, formula",apples,0.037,0.7762237762237761,3.560659523962276,0.026608666666666662,3.494562499999999,3
"bananas, parmesan",apples,0.034666666666666665,0.7761194029850745,3.5601807476379568,0.02492933333333333,3.492933333333332,3
"apples, salsa",bananas,0.04633333333333333,0.731578947368421,3.5456168693138332,0.03326555555555555,2.956797385620914,3
"bananas, pasta",apples,0.069,0.7723880597014926,3.543064494043544,0.04952533333333334,3.435672131147542,3
"apples, formula",bananas,0.037,0.7302631578947368,3.539239860556075,0.026545777777777776,2.942373983739837,3
"apples, chips",bananas,0.06666666666666667,0.7299270072992701,3.53761069773475,0.047821555555555555,2.9387117117117114,3
"apples, parmesan",bananas,0.034666666666666665,0.7272727272727272,3.524746658833896,0.02483144444444444,2.91011111111111,3
bananas,"apples, bread",0.07866666666666666,0.3812600969305331,3.5193239716664593,0.056313888888888886,1.4411009573542208,3
"apples, bread",bananas,0.07866666666666666,0.726153846153846,3.519323971666459,0.056313888888888886,2.89822097378277,3
"apples, milk",bananas,0.050333333333333334,0.7259615384615385,3.518391947309557,0.036027555555555556,2.8961871345029246,3
"apples, coffee",bananas,0.04466666666666667,0.7243243243243244,3.510457145352137,0.03194277777777778,2.8789869281045752,3
"bananas, wipes",formula,0.03666666666666667,0.8270676691729323,3.5045240219192046,0.026203999999999998,4.41791304347826,3
bananas,apples,0.15733333333333333,0.7625201938610662,3.4977990544085604,0.11235266666666666,3.2929115646258498,2
apples,bananas,0.15733333333333333,0.7217125382262997,3.4977990544085604,0.11235266666666666,2.8519670329670324,2
"bananas, soda",apples,0.04066666666666666,0.7624999999999998,3.497706422018348,0.029039999999999996,3.2926315789473666,3
"apples, diapers",bananas,0.051666666666666666,0.7209302325581395,3.494007589134763,0.036879444444444444,2.8439722222222215,3
"apples, butter",bananas,0.079,0.7203647416413375,3.4912669223328145,0.05637211111111111,2.8382210144927544,3
bananas,"apples, butter",0.079,0.38287560581583197,3.4912669223328145,0.05637211111111111,1.4427129144851658,3
"apples, cereal",bananas,0.051,0.7183098591549296,3.481307879587704,0.03635033333333333,2.817516666666667,3
"apples, wipes",formula,0.04066666666666666,0.8187919463087248,3.4694573996132405,0.02894533333333333,4.216148148148147,3
"apples, formula",wipes,0.04066666666666666,0.8026315789473684,3.459618874773139,0.028911999999999997,3.891199999999999,3
"formula, salsa",wipes,0.051333333333333335,0.8020833333333334,3.4572557471264367,0.036485333333333335,3.8804210526315797,3
"bananas, beer",apples,0.03133333333333333,0.752,3.44954128440367,0.02225,3.153225806451613,3
"bananas, wipes",apples,0.03333333333333333,0.7518796992481203,3.4489894460922947,0.023668666666666664,3.151696969696969,3
"salsa, wipes",formula,0.051333333333333335,0.8062827225130891,3.416452214038513,0.03630800000000001,3.9438918918918935,3
"coffee, wipes",formula,0.04766666666666667,0.803370786516854,3.4041135021900595,0.033664,3.885485714285716,3
"beer, wipes",formula,0.035333333333333335,0.8030303030303031,3.402670775552132,0.024949333333333337,3.8787692307692323,3
"eggs, formula",wipes,0.03866666666666667,0.7891156462585034,3.401360544217687,0.027298666666666666,3.641806451612903,3
"cream, wipes",formula,0.050666666666666665,0.7999999999999999,3.389830508474576,0.03572,3.819999999999999,3
"cereal, wipes",formula,0.059333333333333335,0.7982062780269058,3.3822299916394316,0.04179066666666667,3.786044444444444,3
"milk, wipes",formula,0.054,0.7980295566502463,3.3814811722468066,0.03803066666666667,3.782731707317074,3
formula,"bread, wipes",0.08666666666666667,0.36723163841807915,3.3794322553810967,0.061021333333333344,1.408625,3
"bread, wipes",formula,0.08666666666666667,0.7975460122699387,3.3794322553810963,0.061021333333333344,3.773696969696971,3
"cereal, formula",wipes,0.059333333333333335,0.780701754385965,3.3650937689050213,0.04170133333333333,3.5020800000000016,3
"pasta, wipes",formula,0.07533333333333334,0.7929824561403509,3.36009515313708,0.05291333333333334,3.6905084745762715,3
"chips, formula",wipes,0.07066666666666667,0.7794117647058824,3.3595334685598375,0.049631999999999996,3.4816000000000003,3
"beer, formula",wipes,0.035333333333333335,0.7794117647058824,3.3595334685598375,0.024815999999999998,3.4816000000000003,3
"bread, formula",wipes,0.08666666666666667,0.7784431137724551,3.355358249019203,0.060837333333333334,3.466378378378379,3
wipes,"bread, formula",0.08666666666666667,0.3735632183908046,3.355358249019203,0.060837333333333334,1.4186055045871562,3
wipes,"butter, formula",0.08533333333333333,0.367816091954023,3.3539461272403313,0.05989066666666666,1.4083454545454546,3
"butter, formula",wipes,0.08533333333333333,0.7781155015197568,3.353946127240331,0.05989066666666666,3.4612602739726026,3
"formula, sugar",wipes,0.04766666666666667,0.7771739130434784,3.3498875562218893,0.03343733333333333,3.446634146341465,3
"eggs, wipes",formula,0.03866666666666667,0.7891156462585034,3.343710365502133,0.02710266666666667,3.6228387096774193,3
"formula, milk",wipes,0.054,0.7751196172248803,3.341032832865863,0.037837333333333334,3.415148936170212,3
wipes,formula,0.18266666666666667,0.7873563218390804,3.336255601013053,0.12791466666666668,3.5928648648648647,2
formula,wipes,0.18266666666666667,0.7740112994350283,3.336255601013053,0.12791466666666668,3.3984000000000014,2
"coffee, formula",wipes,0.04766666666666667,0.772972972972973,3.331780055917987,0.03336,3.3828571428571426,3
formula,"butter, wipes",0.08533333333333333,0.3615819209039548,3.3274409899136947,0.059688000000000005,1.3961592920353982,3
"butter, wipes",formula,0.08533333333333333,0.7852760736196319,3.3274409899136947,0.059688000000000005,3.5580571428571433,3
"bananas, formula",wipes,0.03666666666666667,0.7692307692307692,3.3156498673740047,0.025608,3.327999999999999,3
"pasta_sauce, wipes",formula,0.07266666666666667,0.7785714285714286,3.299031476997579,0.050640000000000004,3.4503225806451616,3
"sugar, wipes",formula,0.04766666666666667,0.7771739130434784,3.2931098010316884,0.033192000000000006,3.42868292682927,3
"cream, formula",wipes,0.050666666666666665,0.763819095477387,3.29232368740253,0.035277333333333334,3.2517446808510653,3
"formula, pasta",wipes,0.07533333333333334,0.7609427609427609,3.279925693718797,0.05236533333333333,3.212619718309859,3
"formula, soda",wipes,0.043,0.7588235294117647,3.2707910750507097,0.02985333333333333,3.1843902439024387,3
"parmesan, wipes",formula,0.037,0.7708333333333333,3.2662429378531073,0.025672,3.333818181818181,3
"formula, pasta_sauce",wipes,0.07266666666666667,0.7569444444444444,3.2626915708812256,0.05039466666666667,3.1597714285714282,3
"apples, wipes",bananas,0.03333333333333333,0.6711409395973155,3.2527024536218843,0.023085444444444443,2.4133945578231293,3
"soda, wipes",formula,0.043,0.7633136094674555,3.234379701133286,0.02970533333333333,3.2278999999999987,3
"chips, wipes",formula,0.07066666666666667,0.762589928057554,3.231313254481161,0.04879733333333334,3.2180606060606065,3
"beer, coffee",sugar,0.041,0.8661971830985916,3.208137715179969,0.028220000000000002,5.455789473684213,3
"beer, coffee",cream,0.041666666666666664,0.880281690140845,3.189426413553786,0.028602666666666665,6.047529411764702,3
"coffee, salsa",sugar,0.06466666666666666,0.8584070796460176,3.179285480170435,0.04432666666666667,5.155624999999996,3
"coffee, parmesan",sugar,0.049666666666666665,0.8563218390804597,3.171562366964665,0.034006666666666664,5.080799999999996,3
"chips, coffee",sugar,0.093,0.8558282208588958,3.1697341513292434,0.06366,5.063404255319151,3
"apples, cream",coffee,0.051333333333333335,0.8415300546448088,3.147868034830956,0.035026,4.623379310344829,3
"bananas, coffee",sugar,0.048,0.8470588235294119,3.1372549019607843,0.0327,4.773076923076926,3
"bananas, sugar",coffee,0.048,0.8372093023255814,3.1317056196717514,0.03267288888888889,4.500666666666668,3
"apples, sugar",coffee,0.051333333333333335,0.8369565217391305,3.1307600563807876,0.03493688888888889,4.49368888888889,3
"chips, coffee",cream,0.09366666666666666,0.8619631901840491,3.1230550368987284,0.06367466666666666,5.244977777777779,3
"apples, cream",sugar,0.051333333333333335,0.8415300546448088,3.116777980165958,0.03486333333333333,4.606551724137932,3
"bananas, coffee",cream,0.048666666666666664,0.8588235294117647,3.1116794543904516,0.03302666666666666,5.128333333333331,3
"formula, sugar",coffee,0.051,0.8315217391304348,3.110430445625068,0.034603555555555554,4.348731182795699,3
"coffee, salsa",cream,0.06466666666666666,0.8584070796460176,3.1101705784275997,0.04387466666666666,5.113249999999996,3
"formula, parmesan",wipes,0.037,0.7207792207792207,3.1068069861173306,0.025090666666666664,2.7505116279069766,3
"coffee, diapers",sugar,0.07233333333333333,0.8378378378378378,3.103103103103103,0.049023333333333335,4.501666666666666,3
"cream, salsa",coffee,0.06466666666666666,0.829059829059829,3.1012213057100837,0.04381466666666667,4.2860999999999985,3
"cream, pasta_sauce",coffee,0.09333333333333334,0.8284023668639053,3.098761970812614,0.06321377777777779,4.269678160919541,3
coffee,"cream, pasta",0.09433333333333334,0.3528678304239402,3.095331845824037,0.06385733333333334,1.3691175337186898,3
"cream, pasta",coffee,0.09433333333333334,0.827485380116959,3.0953318458240364,0.06385733333333334,4.246983050847457,3
"coffee, soda",sugar,0.052333333333333336,0.8351063829787235,3.092986603624902,0.03541333333333334,4.427096774193552,3
"salsa, sugar",coffee,0.06466666666666666,0.825531914893617,3.088024619302807,0.04372555555555555,4.199430894308943,3
"chips, sugar",coffee,0.093,0.8254437869822485,3.087694963773997,0.06288044444444445,4.197310734463277,3
coffee,"pasta, sugar",0.09433333333333334,0.3528678304239402,3.0863075547283403,0.06376822222222223,1.36860244059088,3
"pasta, sugar",coffee,0.09433333333333334,0.8250728862973762,3.0863075547283403,0.06376822222222223,4.1884111111111135,3
"apples, coffee",sugar,0.051333333333333335,0.8324324324324325,3.083083083083083,0.03468333333333333,4.356451612903227,3
"coffee, parmesan",cream,0.04933333333333333,0.8505747126436781,3.0817924371147756,0.03332533333333333,4.845230769230768,3
"coffee, wipes",sugar,0.04933333333333333,0.8314606741573033,3.0794839783603822,0.033313333333333334,4.3313333333333315,3
coffee,"butter, sugar",0.10666666666666667,0.3990024937655861,3.0771400547474506,0.07200244444444445,1.4481479944674964,3
"butter, sugar",coffee,0.10666666666666667,0.8226221079691516,3.07714005474745,0.07200244444444445,4.130541062801931,3
"cream, salsa",sugar,0.06466666666666666,0.829059829059829,3.070591959480848,0.04360666666666666,4.270499999999998,3
"pasta_sauce, sugar",coffee,0.09266666666666666,0.8200589970501474,3.0675523580429456,0.062458,4.0717049180327844,3
"coffee, soda",cream,0.053,0.8457446808510639,3.0642923219241442,0.035704,4.693517241379313,3
"coffee, formula",sugar,0.051,0.8270270270270269,3.0630630630630624,0.03434999999999999,4.220312499999997,3
"coffee, pasta",sugar,0.09433333333333334,0.8250728862973762,3.055825504805097,0.06346333333333334,4.173166666666669,3
"bananas, sugar",cream,0.04833333333333333,0.8430232558139534,3.0544320862824397,0.032509333333333335,4.6121481481481466,3
"bread, sugar",coffee,0.10666666666666667,0.816326530612245,3.053590513512139,0.07173511111111112,3.9889629629629657,3
